Year,Location,Environment,Block,Plot,RIL Family,Line,QTL_Allele,Type,Condition,Researcher,Yield
2019,Wooster,2019_Wooster,2,1503,4060,4060_26,OX,Exp,Non-disease,Chris,1216.168773
2019,Wooster,2019_Wooster,1,902,3064,3064_14,PI 106,Exp,Non-disease,Chris,1318.041398
2019,Wooster,2019_Wooster,2,2203,3064,3064_32,PI 106,Exp,Non-disease,Chris,1329.746459
2019,Wooster,2019_Wooster,2,2402,3064,3064_36,OX,Exp,Non-disease,Chris,1362.674985
2019,Wooster,2019_Wooster,1,904,3064,3064_25,OX,Exp,Non-disease,Chris,1425.187732
2019,Wooster,2019_Wooster,2,2301,3064,3064_25,OX,Exp,Non-disease,Chris,1447.05433
2019,Wooster,2019_Wooster,2,2303,3064,3064_50,PI 106,Exp,Non-disease,Chris,1644.368228
2019,Wooster,2019_Wooster,2,2401,3064,3064_28,OX,Exp,Non-disease,Chris,1663.147777
2019,Wooster,2019_Wooster,1,704,3064,3064_24,PI 106,Exp,Non-disease,Chris,1665.977572
2019,Wooster,2019_Wooster,2,2403,3064,3064_27,OX,Exp,Non-disease,Chris,1669.193249
2019,Wooster,2019_Wooster,2,2205,3064,3064_3,PI 106,Exp,Non-disease,Chris,1787.272882
2019,Wooster,2019_Wooster,2,2405,3064,3064_39,OX,Exp,Non-disease,Chris,1799.878333
2019,Wooster,2019_Wooster,2,2305,3064,3064_14,PI 106,Exp,Non-disease,Chris,1822.25944
2019,Wooster,2019_Wooster,2,2204,3064,3064_24,PI 106,Exp,Non-disease,Chris,1846.955834
2019,Wooster,2019_Wooster,2,2404,3064,3064_7,PI 106,Exp,Non-disease,Chris,1959.118623
2019,Wooster,2019_Wooster,1,804,3064,3064_3,PI 106,Exp,Non-disease,Chris,1962.334299
2019,Wooster,2019_Wooster,2,2201,3064,3064_2,PI 106,Exp,Non-disease,Chris,1976.483275
2019,Wooster,2019_Wooster,2,2003,4213,4213_30,PI 105B,Exp,Non-disease,Chris,1994.362435
2019,Wooster,2019_Wooster,1,1002,4060,4060_26,OX,Exp,Non-disease,Chris,2126.462417
2019,Wooster,2019_Wooster,2,2202,3064,3064_19,OX,Exp,Non-disease,Chris,2229.235431
2019,Wooster,2019_Wooster,1,702,3064,3064_36,OX,Exp,Non-disease,Chris,2255.346723
2019,Wooster,2019_Wooster,1,805,3064,3064_19,OX,Exp,Non-disease,Chris,2269.367071
2019,Wooster,2019_Wooster,1,1201,4060,4060_30,PI 105B,Exp,Non-disease,Chris,2318.373978
2019,Wooster,2019_Wooster,1,703,3064,3064_32,PI 106,Exp,Non-disease,Chris,2350.14486
2019,Wooster,2019_Wooster,1,705,3064,3064_50,PI 106,Exp,Non-disease,Chris,2362.750311
2019,Wooster,2019_Wooster,1,1005,4060,4060_48,OX,Exp,Non-disease,Chris,2368.152647
2019,Wooster,2019_Wooster,1,903,3064,3064_39,OX,Exp,Non-disease,Chris,2401.59568
2019,Wooster,2019_Wooster,2,2103,4213,4213_14,OX,Exp,Non-disease,Chris,2417.159554
2019,Wooster,2019_Wooster,2,1902,4213,4213_40,PI 105B,Exp,Non-disease,Chris,2433.237935
2019,Wooster,2019_Wooster,2,1604,4213,4213_41,OX,Exp,Non-disease,Chris,2480.444063
2019,Wooster,2019_Wooster,2,1703,4213,4213_18,PI 105B,Exp,Non-disease,Chris,2510.028285
2019,Wooster,2019_Wooster,1,1001,4060,4060_42,OX,Exp,Non-disease,Chris,2513.629842
2019,Wooster,2019_Wooster,2,2002,4213,4213_28,OX,Exp,Non-disease,Chris,2541.284658
2019,Wooster,2019_Wooster,1,901,3064,3064_28,OX,Exp,Non-disease,Chris,2571.897897
2019,Wooster,2019_Wooster,2,1701,4213,4213_33,PI 105B,Exp,Non-disease,Chris,2630.294578
2019,Wooster,2019_Wooster,2,1501,4060,4060_6,OX,Exp,Non-disease,Chris,2633.381627
2019,Wooster,2019_Wooster,1,905,3064,3064_7,PI 106,Exp,Non-disease,Chris,2695.508493
2019,Wooster,2019_Wooster,1,502,4213,4213_32,PI 105B,Exp,Non-disease,Chris,2728.565645
2019,Wooster,2019_Wooster,2,1901,4213,4213_32,PI 105B,Exp,Non-disease,Chris,2762.137306
2019,Wooster,2019_Wooster,1,802,3064,3064_2,PI 106,Exp,Non-disease,Chris,2771.269827
2019,Wooster,2019_Wooster,1,1003,4060,4060_7,OX,Exp,Non-disease,Chris,2773.713741
